prop_id,srch_id
67491,33915
101392,326772
77074,265976
162,18369
44020,69872
22013,98741
137139,32100
134200,302078
68002,119359
45731,226415
109346,77434
96338,154171
136159,272802
25016,143087
111537,9808
128048,72546
99147,175356
69923,67920
65581,285691
2330,296236
11112,320420
76587,289239
35115,105692
118722,306546
128672,318102
69370,218179
22180,247101
62726,197172
131718,309760
71739,310363
29856,159060
63632,108720
25653,182313
133042,99875
70684,202649
130154,103860
55300,150338
81780,30793
85708,99605
114932,92936
105031,96566
35193,97201
125409,172854
27828,276503
126818,326249
23436,198643
31149,305484
59781,25669
32363,255245
22434,137569
98488,121260
137937,30867
66430,110727
49368,276013
58508,186028
53341,256831
78500,225844
21433,218666
43261,266168
69558,165299
34031,209932
92135,165355
3711,1608
44684,225213
95182,24884
73948,5592
8241,299553
45731,54235
44923,275510
106275,268587
59276,42028
68420,316916
60880,79401
90730,99656
31286,234892
34942,265853
52111,89335
40199,120780
29626,30755
3628,229985
59645,69870
90015,134428
67084,269346
101594,209511
60725,265809
13992,8409
51133,222760
22859,133041
14808,169074
140484,264755
116176,8941
80638,178029
92653,264336
124635,280098
32358,210320
15281,72093
120758,141059
83634,229009
121696,305599
37171,195
93819,238119
125898,177762
66697,31493
7349,64637
1833,53533
47595,117266
83840,250996
7861,257519
12015,157198
103872,102626
112246,26573
113768,293712
98107,130141
41066,74816
5159,90300
8150,208229
65602,43557
50408,319685
28078,209284
100149,232485
118188,328713
74211,53467
73560,258682
137359,103438
116424,284605
90238,201141
4570,298765
133504,109384
69327,129701
98730,44291
79490,84911
73361,41181
85333,174615
132469,93571
42225,76582
16899,72903
12325,181417
83343,137433
39789,73861
98470,100194
44857,27500
24440,223103
6422,9254
24157,50331
63105,25004
31150,94064
135082,94139
65460,200087
3314,319145
132998,208745
127548,7354
21398,195719
98577,316231
23751,293265
86928,25852
86189,250570
42171,39360
9987,191427
76167,148081
136025,59402
139866,193296
80863,138964
71039,319792
52330,231731
755,240358
126893,271018
93045,165909
45242,161236
109804,111766
125792,196776
51760,63498
33201,258211
91330,233403
96916,184674
106018,262988
63934,310645
90204,177898
89688,71353
128090,191684
49295,248553
86583,61089
39442,84695
12651,324424
40279,101569
68184,111977
53246,212737
1294,315048
138371,233263
114557,141297
102529,180960
138628,239089
133509,14454
29633,24742
28333,1272
65671,165779
140640,310521
46743,173482
81460,138683
64274,71566
120220,21068
87652,20606
104679,229092
41278,98844
31730,38122
75573,184433
2800,47666
113806,17914
104156,173193
121588,107150
140723,50207
49579,118211
88377,192513
70221,197305
22476,90541
104634,20427
9987,87024
76302,158696
17159,168387
10841,100020
136880,122821
78685,212593
115286,295365
140264,327949
29163,13936
98259,287555
25599,286205
139917,29998
7880,304604
43222,306304
18569,240735
119049,199972
51,160454
138962,172226
2771,120254
88553,24623
60962,274801
60240,293791
81571,74591
86639,253616
16687,265067
20494,181866
139044,28758
104956,110258
15115,148393
78618,164735
112817,97227
93129,299463
112502,278254
20659,145921
134288,92032
39442,301087
11519,311845
45705,164329
54795,258114
41088,166598
129565,220560
41366,160051
80009,209987
67250,256080
41368,89860
63962,90995
33553,12754
101653,284337
80045,322083
13580,186790
106919,122728
58005,269540
25665,169947
42875,46820
117463,103363
43709,281386
56367,12159
105675,260414
107973,226462
95300,70800
