prop_id,srch_id,category
21198,26378,0.45193058
37798,128613,0.46908087
114250,133735,0.24584207
28908,18818,0.4399702
77995,8701,0.13390982
71039,319792,0.53142303
27828,276503,0.6325153
41066,74816,0.5629129
137083,272590,0.35753393
129488,227160,0.3179416
71699,273839,0.43207562
48407,84436,0.29379433
56796,21524,0.267889
11302,155584,0.47748122
113035,176261,0.22937581
93741,74673,0.43873397
79209,152587,0.44203633
87326,30610,0.4601843
43261,266168,0.61239797
78739,302786,0.4162806
76398,205597,0.14906123
1833,94466,0.42712492
49368,276013,0.61695534
103872,102626,0.5643854
36952,199537,0.29010546
89202,22428,0.2648425
140130,125680,0.38358152
112345,74008,0.41980386
128090,191684,0.52253556
39004,17074,0.3838275
60170,294238,0.36080548
24157,50331,0.5402772
95763,149428,0.48232633
92135,165355,0.60664827
52279,11289,0.25899053
86583,61089,0.5220007
23256,11855,0.36075893
118188,241937,0.46324608
101621,93573,0.47899193
118588,268731,0.38857508
4780,53372,0.4042948
124635,280098,0.57468104
98107,130141,0.5630233
104259,32740,0.2919449
134154,100052,5.5104494e-05
9665,177226,0.4126885
130349,209264,0.45157987
35936,224931,0.44055519
62404,36208,0.40974313
5847,327244,0.38534462
20406,247564,0.12166795
74048,136624,0.30103496
50284,132661,0.47744507
135247,233544,0.47879368
133451,320101,0.43445867
101096,107,0.3186705
38161,181111,0.4062306
39292,72007,0.3477074
75952,53275,0.41454223
68184,111977,0.52143997
101728,44414,0.16457602
31135,136990,0.33610123
132122,5269,0.35596448
35479,300879,0.29127026
29633,24742,0.5181059
37171,195,0.5710546
1162,7859,0.24734303
116747,16913,0.4101268
13992,8409,0.5791306
103757,239404,0.42670473
103862,100739,0.29757953
16649,222808,0.4760594
107973,226462,0.488044
69370,218179,0.67747307
83840,250996,0.56558394
112502,278254,0.49831223
119049,199972,0.5045624
127808,22049,0.26375502
22476,90541,0.5120586
121053,261410,0.26342073
120695,19066,0.4127143
42171,39360,0.5335969
3065,150552,0.47527075
63962,90995,0.49354643
117218,179100,0.4406475
78474,213080,0.43580782
131875,134924,0.24602616
