prop_id,srch_id,category
101103,69213,0.9998354
101728,44414,0.9997383
86639,253616,0.99913174
4700,40382,0.99821484
28726,212163,0.99260336
76084,27175,0.991931
48366,7365,0.99113524
134877,316053,0.99069375
75353,163365,0.98630816
61427,204011,0.9845344
131875,134924,0.9830698
23268,171793,0.97450817
118588,268731,0.968758
125311,327674,0.96855676
2330,296236,0.9616483
117062,1310,0.9580219
959,176199,0.95338935
103092,279751,0.94881004
23212,329364,0.9461278
136787,317315,0.9454564
62823,109480,0.942202
64274,71566,0.9327636
37581,3253,0.93151164
3005,28178,0.9256896
12495,134645,0.924703
11524,109498,0.921145
23072,193228,0.91796046
71438,235264,0.8996299
99711,93811,0.8978326
92908,89511,0.8963666
23436,198643,0.8942714
80638,178029,0.8918589
110642,209356,0.8892077
73661,91418,0.88457173
113768,293712,0.8825596
44020,69872,0.88184834
137937,30867,0.88067156
57109,329817,0.87940794
71636,322499,0.8793314
128036,174091,0.8775613
120758,141059,0.87311846
140640,310521,0.8710028
78574,147936,0.868779
92135,165355,0.8640403
108320,79073,0.8623727
66964,186750,0.8591942
127548,7354,0.85872173
3064,207641,0.8538554
63374,240789,0.8531098
62328,308251,0.85248667
9545,308361,0.8481662
124046,126659,0.8456164
23256,11855,0.84553367
45365,319420,0.845213
65855,54110,0.8433479
4304,127497,0.8412483
28818,57700,0.8324942
63064,215490,0.83223075
43535,231247,0.8295208
88553,24623,0.8291124
112073,142704,0.8276101
99147,175356,0.8273891
104156,173193,0.82732916
31135,136990,0.82708037
90770,293424,0.8249684
80863,138964,0.8196712
125337,233376,0.819125
32363,255245,0.81288946
49368,276013,0.8089275
10583,242954,0.8076541
71135,24749,0.8074034
12651,324424,0.807303
119631,157522,0.80570525
87127,77052,0.80387783
101317,99361,0.8006456
98107,130141,0.7997097
61745,133513,0.79682916
128048,72546,0.79604626
130594,293360,0.7955153
22859,133041,0.79514337
27828,276503,0.7930045
52330,231731,0.7922797
68729,58201,0.7912395
11302,155584,0.7908522
26739,200507,0.7885544
116942,171349,0.7873626
93872,17027,0.78717554
44684,225213,0.7859687
125053,256155,0.78405136
67491,33915,0.7839405
50638,15173,0.78193516
36952,199537,0.781148
120763,97213,0.78067046
19898,26680,0.7804638
134421,272888,0.77671593
87652,20606,0.77616876
755,240358,0.7735203
21433,218666,0.7732431
137359,145684,0.77324057
87326,30610,0.7726111
116747,16913,0.7703357
23720,57626,0.7700208
10214,86503,0.76761407
108094,149029,0.7674977
58508,186028,0.76645
49905,263627,0.7626892
92526,265292,0.76081485
115544,172943,0.76061165
122761,308894,0.7602422
25016,143087,0.7595728
102529,180960,0.7593601
25665,169947,0.75934625
93502,15046,0.758645
27002,168220,0.75737756
89667,294632,0.7572751
11522,174561,0.7568099
5961,129864,0.7562397
134909,233423,0.7561898
133509,14454,0.7554046
125409,172854,0.75484365
91734,9295,0.75415194
25653,182313,0.7529003
5159,90300,0.75274724
119322,74475,0.75198877
13992,8409,0.75108486
16029,47802,0.7502509
63604,212625,0.74992406
125881,153576,0.7487628
106660,155873,0.74872756
39442,301087,0.748386
75291,154532,0.7469008
125992,196319,0.7453948
41573,169,0.7443468
36441,261208,0.74375856
5909,296966,0.7431413
22180,247101,0.7429446
83870,270735,0.74229985
9987,191427,0.7411931
108213,140069,0.7381194
69031,61444,0.73722494
35223,38807,0.73665243
75778,323017,0.7339781
27302,106425,0.7310639
13508,10822,0.73103565
101653,284337,0.7309275
79737,2452,0.7304495
75955,128240,0.7285853
115319,57966,0.72755635
78838,50997,0.72702223
75576,118655,0.7256157
77074,265976,0.72331923
49502,294993,0.7227082
12169,116737,0.72047126
64446,85557,0.7204121
136880,122821,0.7196277
48797,28815,0.7175809
131880,101136,0.71643436
32948,99746,0.713151
30451,250036,0.7131299
119207,62251,0.7126975
20817,199152,0.7108983
60880,79401,0.7096477
73620,271128,0.7087283
