srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool,category
209332,2013-06-22 07:06:31,5,219,3.43,189.6,219,90139,4,4.5,0,3.95,0.081,0.0,4,109.0,0,8026,3,149,2,0,1,0,,879.69,0,,,,,,,,,,,,,,,,,,,,,,,,,1,417.45,1,5
39469,2013-06-10 18:52:08,9,59,,,59,90848,3,4.0,1,3.37,0.0443,0.0,1,179.33,1,7723,4,40,2,2,1,1,,596.41,0,,,,,,,,,,,,,,,,,,,,,,,,,1,823.92,1,5
283057,2013-04-22 17:32:59,14,100,,,100,7641,2,3.5,0,0.69,0.0343,4.57,2,63.38,0,5625,1,1,1,0,1,0,,76.73,0,,,,,,,,,,,,,-1.0,0.0,7.0,,,,,,,,,,1,71.56,1,5
189468,2013-05-06 00:04:31,24,216,,,219,86597,3,4.5,1,2.89,0.0232,5.1,25,128.56,0,23753,5,0,1,0,1,0,,,0,,,,,,,-1.0,0.0,4.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,748.26,1,5
29182,2013-05-01 15:15:02,5,219,,,149,122157,5,4.5,1,0.69,,6.11,2,319.0,0,16707,4,30,2,0,1,1,,828.64,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,1748.12,1,5
153395,2012-12-13 12:14:30,15,55,3.31,130.11,129,111581,4,4.5,0,1.61,0.2278,4.98,2,127.3,0,23991,2,0,1,0,1,1,,,0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,1,128.11,1,5
172973,2013-03-25 13:30:56,15,55,,,219,76416,3,4.5,0,2.89,0.3247,4.98,2,145.68,0,26912,4,5,2,2,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,639.66,1,5
57052,2013-02-04 09:38:37,5,219,,,219,81912,3,4.0,1,1.95,0.1056,4.87,6,110.0,0,18324,1,26,2,0,1,1,,188.23,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,1,125.21,1,5
130415,2013-05-22 20:40:09,5,219,2.2,90.73,219,43718,2,3.5,1,3.26,0.1677,4.2,6,53.0,1,21382,2,28,2,0,1,0,,120.12,0,,,,0.0,0.0,,0.0,0.0,,,,,-1.0,0.0,15.0,,,,,,,-1.0,0.0,13.0,1,130.92,1,5
36023,2013-04-16 19:26:36,5,219,,,219,20372,3,4.0,1,1.39,,4.87,15,87.0,0,10812,1,11,2,0,1,1,-18.2222,,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,100.02,1,5
330616,2013-06-17 10:26:45,5,219,,,219,80259,3,3.5,0,2.3,0.1983,0.0,1,64.0,1,15756,3,21,1,0,1,0,,362.11,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,285.28,1,5
303391,2013-03-14 13:55:25,24,216,,,205,105382,4,3.5,0,4.45,0.1531,5.11,19,140.62,0,28317,2,2,1,1,2,1,,,0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,1,283.98,1,5
9385,2013-03-26 09:00:30,15,31,,,55,46466,4,3.5,0,5.72,0.5406,5.42,26,140.99,1,19392,2,8,1,0,1,0,,598.16,0,,,,,,,,,,,,,0.0,0.0,14.0,,,,0.0,0.0,,,,,1,337.45,1,5
161031,2013-03-15 07:14:27,5,219,,,219,43191,4,4.5,1,4.01,,5.54,3,249.0,0,22078,2,175,2,0,1,1,,149.36,0,,,,,,,,,,,,,,,,,,,,,,,,,1,562.26,1,5
20025,2013-02-21 19:41:37,14,100,,,59,127400,5,4.5,0,1.79,0.0666,6.21,2,360.33,1,13083,7,28,2,0,1,0,,1962.47,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,1440.0,1,5
24658,2013-03-20 20:13:54,5,219,,,219,72473,3,3.5,1,3.18,0.0123,4.94,36,70.0,0,8347,1,1,2,0,1,1,,2.08,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,81.36,1,5
166597,2013-05-06 21:25:18,5,219,,,219,54663,0,4.5,1,1.39,0.1639,4.6,6,94.0,0,25877,1,3,2,0,1,1,,138.77,0,,,,1.0,0.0,12.0,1.0,0.0,12.0,,,,,,,,,,,,,1.0,0.0,11.0,1,104.0,1,5
159749,2013-06-21 19:44:00,5,219,,,219,138559,4,4.0,1,2.4,0.1202,0.0,2,99.0,0,4748,3,7,2,1,1,1,,396.07,0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,336.09,1,5
24566,2013-04-20 20:46:12,5,219,,,32,99958,3,4.0,0,4.52,0.7005,5.36,15,200.0,0,17217,2,54,2,0,1,1,,4806.17,0,,,,,,,,,,,,,0.0,0.0,,1.0,0.0,2.0,0.0,0.0,,,,,1,417.57,1,5
53963,2013-05-31 14:33:21,14,100,,,100,119002,4,4.0,1,4.3,0.2885,5.47,7,133.98,0,6948,1,0,1,0,1,1,,56.04,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,228.25,1,5
135550,2012-11-22 18:30:02,14,100,,,219,96371,3,3.5,1,1.79,0.0816,4.8,1,69.19,0,4748,1,50,2,0,1,1,,673.71,0,,,,0.0,0.0,,1.0,0.0,28.0,,,,0.0,0.0,,,,,,,,0.0,0.0,22.0,1,79.65,1,5
245006,2013-06-24 21:41:15,15,55,,,219,46809,4,4.0,0,3.78,0.0281,0.0,19,222.26,1,5143,7,105,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,2976.55,1,5
282324,2013-06-19 17:33:27,5,219,,,219,68357,3,3.5,1,2.2,0.0109,0.0,1,68.0,0,12638,1,44,2,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,175.36,1,5
216744,2013-03-05 16:30:31,32,220,,,220,137245,5,4.0,1,3.74,0.3586,5.4,1,133.35,1,19645,2,35,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,265.67,1,5
234838,2012-11-04 21:45:59,22,92,,,129,127474,4,4.5,0,4.98,0.695,5.33,22,100.97,1,447,2,61,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,216.07,1,5
132425,2012-11-12 07:35:00,5,219,,,32,109648,3,4.0,1,3.93,0.3547,5.43,1,221.0,0,6311,2,47,3,1,1,1,,4684.23,0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,1,459.52,1,5
24061,2013-03-07 12:15:59,5,219,,,219,85044,3,4.5,1,3.22,0.3542,5.66,3,649.0,0,5206,4,1,2,0,1,1,,4.32,1,,,,,,,,-1.0,,,,,,,,,,,,,,,,,1,,0,1
264049,2013-04-25 10:24:52,5,219,,,219,85965,4,4.0,1,3.14,0.0173,4.84,34,119.0,0,23904,1,2,2,0,1,1,,111.72,1,,,,0.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,13.0,0.0,1.0,15.0,,,,,,,0.0,0.0,16.0,1,,0,1
214171,2013-06-11 19:43:45,5,219,,,219,81370,4,4.0,1,0.69,0.0655,0.0,4,159.0,1,6621,6,45,3,1,1,0,,2446.95,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,1,,0,1
181073,2013-02-13 13:23:11,10,4,,,219,129916,3,4.0,1,4.09,0.3796,5.22,1,99.54,0,26865,1,13,1,0,1,0,,,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,,0,1
