prop_id,srch_id,category
125053,256155,0.9051769
134200,302078,0.8782587
100149,232485,0.81288356
23436,198643,0.80281043
47595,117266,0.7957347
9545,308361,0.7855444
88377,192513,0.7769408
48504,124556,0.7767607
162,18369,0.7714608
122427,187983,0.7526188
78276,169827,0.7525575
10841,100020,0.7478141
124046,126659,0.73291165
85141,298288,0.72957665
68002,119359,0.7264604
85204,170683,0.6998901
4867,93353,0.66719264
25980,187003,0.6541857
41278,98844,0.6498288
4304,127497,0.6465017
95182,24884,0.6427726
41066,74816,0.6290084
75291,154532,0.62824756
116176,8941,0.6277857
96338,154171,0.6185125
64446,85557,0.61444086
21433,218666,0.6127461
8409,89070,0.6082939
76167,148081,0.607372
131697,48743,0.60133225
84469,158731,0.5945264
135423,4129,0.59156626
42875,46820,0.5901622
51133,222760,0.5865176
99430,250510,0.5794853
71739,310363,0.5770013
94313,77292,0.5738275
46501,164013,0.5693232
77465,207461,0.5686821
78497,283606,0.5685292
62726,197172,0.5555955
5138,240925,0.55411154
63105,25004,0.5538434
96728,200867,0.5520878
109804,111766,0.54944015
108094,149029,0.54940057
87788,53791,0.5473987
123667,207756,0.5458686
98488,121260,0.5458204
54795,258114,0.54366875
13120,44771,0.53768986
51178,160034,0.53545374
78500,225844,0.5352947
22013,98741,0.52697057
92526,265292,0.5232152
3711,1608,0.5207633
42547,197562,0.520073
88081,220468,0.5146583
67491,33915,0.5107022
138371,233263,0.50966793
15808,190906,0.5082364
105675,260414,0.50762874
3583,257553,0.5069514
119368,278047,0.50392735
44923,275510,0.50356925
2800,47666,0.49669805
124778,121692,0.49648038
31149,305484,0.49362755
90015,134428,0.49359456
51760,63498,0.49289382
127495,268833,0.49285018
126462,295709,0.49128726
123948,161299,0.49011812
90017,226986,0.4895847
41368,89860,0.48818278
110565,205065,0.48770007
5739,163391,0.48702374
81780,30793,0.48612309
74211,53467,0.48427546
128682,314652,0.48412523
35936,224931,0.4840316
125337,233376,0.481726
101111,81490,0.48097995
15281,72093,0.47543234
114825,48424,0.47500515
40199,120780,0.47377816
45242,161236,0.4709231
34241,326187,0.46862528
25016,143087,0.46793124
103353,81935,0.46557337
9665,177226,0.46184027
42225,76582,0.46129128
11473,298767,0.45858532
4780,53372,0.4567374
118822,163788,0.45638445
9987,87024,0.45543668
132122,5269,0.45541814
91102,113932,0.45363268
62894,188906,0.45227194
108827,199291,0.45130843
25779,63602,0.44720387
20015,302193,0.44597277
18287,105281,0.44484812
32358,210320,0.44289497
10136,134849,0.44253832
110320,219934,0.44233066
2194,201899,0.4403784
123835,93142,0.4402348
54116,153351,0.43956304
66528,58860,0.43842077
34942,265853,0.43816635
101241,104129,0.435632
80400,44532,0.43559888
132577,104951,0.43451998
9545,42997,0.4344999
116942,171349,0.43204623
105804,302325,0.43162292
13443,175066,0.43121907
70684,202649,0.42655176
70683,158899,0.42588395
56691,63038,0.42318386
10583,242954,0.4199494
97590,12329,0.4199015
113035,176261,0.419817
35223,208194,0.41908157
40479,301064,0.41866806
49579,118211,0.4138115
24092,214390,0.4132438
14808,169074,0.4123981
103757,239404,0.41171104
33553,12754,0.4110969
69327,129701,0.40812683
39442,301087,0.4077509
107596,272394,0.40732205
61594,280860,0.40684456
93819,238119,0.40531522
63934,310645,0.40112913
93502,15046,0.4009192
120695,19066,0.40058753
31730,38122,0.40039077
44960,236071,0.39900768
39442,84695,0.39845046
107744,245454,0.39776012
59374,152073,0.39354736
66964,186750,0.3934631
109446,164165,0.39267167
15390,218475,0.39159366
71636,322499,0.39009222
27142,84979,0.38923055
106019,104177,0.38872567
19210,59711,0.3886795
110879,61715,0.3883519
94465,290271,0.38642007
18569,240735,0.38604218
67250,256080,0.38391656
76830,18408,0.3820254
109346,77434,0.38065946
107606,238044,0.38050917
115123,118195,0.37992072
44020,69872,0.379107
16649,222808,0.3762111
103209,145076,0.37608862
80045,322083,0.37554154
63443,12056,0.37439558
4256,89667,0.369874
91482,146289,0.36961183
78621,57262,0.36957958
96513,77667,0.36954397
49295,248553,0.36945415
86928,25852,0.3684954
128672,318102,0.3670172
15941,314006,0.36667606
135096,272630,0.3648822
97878,176623,0.36437696
23072,193228,0.36357534
66608,139983,0.36293167
69607,221701,0.3623811
118722,306546,0.36192024
110636,289988,0.36136466
15716,265281,0.36119506
107235,13224,0.36116168
76443,331795,0.36047646
34020,261092,0.359846
104293,327520,0.35854864
105779,79937,0.35814258
60772,92881,0.35807228
8650,28540,0.3578315
127850,267047,0.356918
96715,252674,0.35673842
95519,128838,0.35640973
30304,257258,0.3562358
59098,24574,0.35623515
118928,230132,0.3559911
96926,29698,0.35550138
44060,152904,0.35466045
95512,46550,0.3531606
100547,155228,0.35158497
107126,284323,0.35098
52111,89335,0.34998152
98470,100194,0.34985232
12518,243994,0.34798577
61011,24862,0.34795675
50284,132661,0.3465231
130154,103860,0.34567896
11524,109498,0.34513113
102234,9947,0.34486336
69649,69207,0.34397545
114648,122577,0.34365577
76384,140643,0.343261
120539,310142,0.34153405
6435,244318,0.3415004
91464,304132,0.3412606
104679,229092,0.34085086
66697,31493,0.3406708
77995,8701,0.33926713
81963,287038,0.33887655
139917,29998,0.33836332
9987,191427,0.33812952
33439,49021,0.33740392
19898,26680,0.33618635
55669,37504,0.3350734
4398,8723,0.33465528
22476,90541,0.33412537
101096,107,0.3334201
70750,202428,0.3331064
6254,316480,0.3310079
40600,220632,0.33099425
40441,117420,0.330118
3704,12606,0.3300691
8791,6784,0.32732204
123596,226054,0.32692292
8909,77410,0.3261109
11331,53074,0.32534084
74048,136624,0.32463333
125898,177762,0.32428178
140809,280985,0.32414362
29163,13936,0.32399756
36010,302065,0.3234136
50408,319685,0.32257965
71699,273839,0.32215503
18716,184485,0.32171494
33326,33171,0.32082328
39614,107073,0.3208198
39789,73861,0.32026404
73361,41181,0.32007363
94897,239738,0.3174587
68317,318361,0.31630436
46666,12800,0.31627533
102466,132424,0.31583554
22308,275902,0.31462505
16499,291953,0.31450883
41278,41106,0.31414202
20772,312278,0.31364632
56163,281851,0.31320834
58508,186028,0.31295916
138282,327305,0.31236675
99931,291996,0.3109046
121696,305599,0.30961296
3314,319145,0.30870768
71987,54428,0.307694
82210,324546,0.3062348
68184,111977,0.30369863
80869,278851,0.303658
13508,10822,0.3032311
13992,8409,0.30318758
118661,332134,0.30262572
84413,34499,0.2977014
4829,175882,0.29703006
54071,105526,0.2968945
22160,87089,0.29643944
126818,326249,0.2959991
121588,107150,0.2958315
70221,197305,0.29544976
63852,4047,0.29535365
133311,251259,0.29483753
94554,223759,0.29420814
122757,68751,0.29394165
35158,71015,0.2939139
83343,137433,0.29380745
57600,185296,0.2936297
137083,272590,0.29280946
64863,330445,0.29268157
81460,138683,0.29222426
80800,156405,0.29216757
60880,79401,0.29180074
108651,223965,0.29168326
20494,181866,0.29092368
98577,316231,0.2907395
115622,216210,0.29072046
38,159220,0.28961864
114663,50145,0.2886158
21198,227812,0.28823245
119631,157522,0.28795326
93378,285623,0.28783777
68936,212958,0.28763738
51371,311808,0.28733408
90238,201141,0.28648466
26712,7701,0.28623572
128154,136320,0.28533542
11147,131473,0.283932
94837,136165,0.2835282
34782,59966,0.28316772
128261,101672,0.28282517
110202,241445,0.28253388
115874,262405,0.28224882
21281,59301,0.2815448
49803,300961,0.28146166
2922,293230,0.28035727
71069,18608,0.27916586
34677,122662,0.27896813
85576,251615,0.2773975
97416,190373,0.27635208
80863,138964,0.27632365
101653,284337,0.2751895
57114,219822,0.27467
37798,128613,0.27416888
12587,104628,0.27406913
28818,57700,0.2736898
102345,223405,0.27278423
13580,186790,0.271933
134288,92032,0.2719292
38419,76948,0.27126962
82665,122176,0.2709856
28333,1272,0.27061382
118112,64114,0.2702103
21198,26378,0.27015647
134833,274419,0.2685525
111416,83964,0.26851523
92653,264336,0.26814145
4570,298765,0.268016
28078,209284,0.2679355
131718,309760,0.2676564
43222,306304,0.2676296
60207,252592,0.26759306
56796,21524,0.26731804
81879,318781,0.26674533
1162,7859,0.26522294
41279,92766,0.26449007
108570,191195,0.264066
80009,209987,0.26403862
78578,108079,0.26369286
100892,95937,0.26317158
58733,292674,0.26211134
72189,183797,0.26091215
98730,44291,0.25957447
128660,79716,0.25955757
138040,267111,0.25938553
37818,164570,0.25888634
133504,109384,0.25871006
91330,233403,0.25708374
73307,224603,0.25691274
82620,241325,0.25615767
39526,81660,0.25607672
106018,262988,0.25570083
133042,99875,0.2537593
80493,167205,0.25326574
50016,88470,0.2527677
12015,157198,0.25109306
25599,286205,0.25029618
18420,34642,0.2498926
48530,153827,0.24976595
76587,289239,0.24927144
15115,148393,0.2492087
136025,59402,0.2490315
38835,44927,0.24886096
129565,220560,0.24880855
23751,293265,0.24876617
118881,243270,0.24870445
137095,250868,0.24860828
84271,113748,0.24818972
39764,266876,0.24536729
36441,261208,0.24524714
36099,81284,0.2448952
77795,261161,0.24484766
59781,4962,0.24477424
122761,308894,0.24472468
8898,226219,0.24413863
121115,126975,0.24340588
47912,281482,0.24334276
136159,272802,0.24310417
7997,115385,0.24260975
89678,141167,0.24169238
53246,212737,0.2405819
79209,152587,0.23977664
126620,286248,0.23974173
81571,74591,0.23973137
139428,24656,0.23861846
67545,296497,0.2383532
13600,204165,0.23779649
7861,257519,0.23671332
57125,92032,0.23627533
31286,234892,0.23583516
48407,84436,0.23542988
41366,160051,0.23436758
46691,104570,0.23356064
137937,30867,0.23268655
22300,123628,0.23254412
4988,127590,0.23240116
140761,308309,0.23108558
39131,247541,0.23106287
71558,79713,0.2309151
112246,26573,0.23089282
87127,77052,0.23075742
83634,229009,0.23014311
135774,65438,0.22856401
78838,50997,0.22777127
115286,295365,0.22742535
47877,83740,0.2252356
23268,171793,0.22474727
61720,83468,0.22470632
139866,193296,0.2240571
67617,36604,0.22396466
19157,18579,0.22336228
20659,145921,0.2232789
34450,144805,0.22320308
108589,34257,0.22262032
8962,302728,0.22257793
116747,34360,0.22155161
119306,250197,0.22145064
62823,109480,0.22082251
39004,17074,0.22003782
42171,39360,0.22000428
29633,24742,0.21683599
48625,259058,0.216711
101621,93573,0.21556978
27867,285518,0.21458124
5439,213877,0.21368824
57125,41224,0.21304622
17159,168387,0.21281062
116206,256157,0.2119221
101594,209511,0.2117054
86189,250570,0.21158811
38161,181111,0.21158135
95215,278807,0.21080399
44484,241149,0.20985751
32740,2631,0.20964077
112502,278254,0.20836394
68364,305374,0.20794886
114353,129151,0.20692773
114204,252840,0.2068501
111537,9808,0.20653738
92799,268092,0.20610535
83870,270735,0.20482896
125992,196319,0.20436397
112073,142704,0.2043125
12169,116737,0.20367809
45731,226415,0.20354186
35386,88608,0.20256396
65460,200087,0.20169733
89688,71353,0.20158778
8241,299553,0.20114525
127924,315710,0.19930477
36569,104715,0.19875306
28444,288098,0.1981816
130706,20518,0.19768451
128587,24948,0.19723085
26357,45086,0.19670086
106919,122728,0.19632828
65671,165779,0.19612636
42087,224216,0.19605881
134971,119576,0.19446708
36904,126075,0.19316465
22285,36717,0.19296053
99711,93811,0.19265409
105031,96566,0.19244842
78497,15725,0.19227764
5407,171440,0.19226204
73620,271128,0.19096959
41326,263991,0.19085464
23254,210840,0.19024503
47556,85976,0.18976215
135332,201891,0.18941313
109958,45086,0.18912216
136880,122821,0.18887879
49368,276013,0.18767284
20592,122377,0.18751962
60240,293791,0.18745273
69638,292040,0.18708362
57802,284646,0.1868564
120872,231020,0.18623805
21398,195719,0.18621543
96916,184674,0.18619935
36952,199537,0.18597253
46899,310967,0.18481885
1833,53533,0.18333934
42202,163598,0.18192855
76288,180047,0.18177485
116859,224325,0.181281
56562,161169,0.18117647
94381,271737,0.18003887
68420,6980,0.18001021
132998,208745,0.17967843
59781,25669,0.17889547
77964,208573,0.1787316
118188,328713,0.17842074
59657,190370,0.17818871
63494,192731,0.17812696
95300,70800,0.17764752
133451,320101,0.17671646
73855,188585,0.17523712
89808,95830,0.17475016
27828,276503,0.17446408
45851,286478,0.17423607
106275,268587,0.17387839
79737,2452,0.17300548
82910,81491,0.17294393
72987,272525,0.17195837
134154,100052,0.17194764
67084,269346,0.17185517
75778,323017,0.1715446
58005,269540,0.17153344
94261,64132,0.17125879
133324,274005,0.17120929
76302,158696,0.17048758
40184,324662,0.16795619
106660,155873,0.1678502
15650,189256,0.16765863
38947,4887,0.16631417
123948,259508,0.16531155
103935,134744,0.16516644
86583,61089,0.16305855
32363,255245,0.16208993
133848,176833,0.16182067
19233,145390,0.16177669
93741,74673,0.16163407
42226,96243,0.1615634
5909,296966,0.16150635
125311,327674,0.16137822
25168,61696,0.16102216
130594,293360,0.16099176
99063,10914,0.1609329
126893,271018,0.15957953
113806,17914,0.15855879
131875,134924,0.15817733
73560,258682,0.15782277
119322,74475,0.157683
117971,64127,0.157375
55053,169324,0.15562578
96442,109553,0.15472378
98719,305542,0.15431944
24437,110598,0.15307862
50638,15173,0.15277758
134845,186031,0.1524949
121053,261410,0.15145908
40279,101569,0.15140045
16029,47802,0.15130958
27302,106425,0.14996545
48364,138027,0.14816311
78400,24411,0.14759377
118614,266987,0.14728208
60003,56043,0.1472327
86858,316244,0.14660735
61745,133513,0.14652549
137289,190049,0.14544913
52829,152080,0.14514592
31135,136990,0.14484732
14260,167454,0.14437373
56965,27186,0.14313234
138962,172226,0.14286268
62404,36208,0.14262593
30451,250036,0.14207174
16899,72903,0.14182085
46743,173482,0.14136684
108069,222667,0.14000627
52234,16436,0.13962835
57469,73449,0.13900198
78725,15103,0.13789132
121275,65940,0.13652462
114420,263951,0.13565017
68729,58201,0.13551188
44857,27500,0.13540816
34009,328861,0.13538928
28908,18818,0.1353827
22180,247101,0.13494556
109576,144501,0.13430838
83840,250996,0.13267572
73661,91418,0.13188173
87326,30610,0.13164245
8150,208229,0.13151391
140130,125680,0.13122986
69092,191986,0.12930892
131978,238575,0.12877156
60333,278227,0.12628476
59645,69870,0.12549905
73134,176402,0.12507229
133509,14454,0.124779165
128724,201589,0.12441608
71039,319792,0.12434804
24157,50331,0.12423754
70591,87611,0.12400749
36952,189192,0.12387345
131379,238389,0.123732
40871,168012,0.12347126
37171,195,0.123206645
117218,179100,0.12293681
137359,145684,0.12293198
79490,84911,0.1226743
10107,321685,0.1220766
101164,203849,0.121847376
112311,5904,0.120868824
12325,181417,0.12076648
114557,141297,0.11930618
125611,66273,0.11910738
75576,118655,0.11876395
135082,94139,0.118739024
116424,284605,0.118122526
98769,65252,0.11807522
93045,165909,0.11775347
11519,311845,0.11762966
62740,324843,0.117012784
74461,219683,0.116897896
127959,57173,0.11642318
31962,260632,0.11606175
63962,90995,0.115927994
29643,93813,0.115832485
129488,227160,0.1158185
27002,168220,0.1149244
55945,307378,0.11453298
22434,137569,0.11238716
8139,56918,0.112176776
76398,205597,0.11155232
94586,86111,0.11151071
7349,64637,0.10991662
16687,265067,0.109737
47836,128802,0.108598664
24545,85758,0.108363494
63848,113448,0.107762955
89672,22746,0.10711387
105062,31739,0.106541574
69923,67920,0.10501479
139165,266517,0.104992524
56367,12159,0.10492163
106672,149487,0.10459042
138628,239089,0.10456089
35502,311910,0.10455486
69837,171129,0.104474574
140566,30650,0.10436582
45705,164329,0.10377703
119049,199972,0.10355407
32948,99746,0.1034486
40978,104204,0.10331831
125881,153576,0.10301304
120825,308108,0.10121259
23720,57626,0.10117226
60170,294238,0.10069114
23212,329364,0.10027157
83979,195826,0.10026482
93734,283986,0.09939824
51,160454,0.09898094
128048,72546,0.098545015
125378,31476,0.09844272
65602,43557,0.09836029
40491,31476,0.09827093
122621,21656,0.09714841
108320,79073,0.0968311
93129,299463,0.096211314
130658,310541,0.095462166
128090,191684,0.09530812
39292,72007,0.095188536
41573,169,0.09463443
137139,32100,0.09428397
78474,213080,0.093721315
107973,226462,0.09360784
5961,129864,0.093258925
3632,121256,0.09319367
112479,299604,0.09253845
2957,128534,0.09198853
59780,314181,0.091725014
140484,264755,0.0914122
93726,21579,0.09127686
98259,256060,0.09089105
16499,187033,0.090270795
130349,209264,0.09020117
25764,205712,0.08987104
46569,183109,0.08950108
755,240358,0.08943357
43263,328613,0.08914226
110940,274010,0.088903956
126657,201234,0.088808894
7812,15073,0.08815694
83145,141922,0.08808154
75573,184433,0.0876373
31150,94064,0.08760846
20587,1147,0.087421805
89202,22428,0.08729099
57978,316722,0.08668759
77074,265976,0.08559314
120758,141059,0.08553736
55701,231810,0.084456004
104259,32740,0.084108874
63374,240789,0.08297541
64274,71566,0.082688175
140264,327949,0.08250193
80516,219612,0.082319945
99889,291285,0.08193589
33201,258211,0.080604926
73948,5592,0.0805447
136259,317304,0.08032726
85708,99605,0.08031701
119207,62251,0.07975057
39561,329278,0.079741925
22297,272871,0.07955149
75795,54102,0.07934957
35223,38807,0.07898111
31573,37472,0.078891665
53341,256831,0.07843579
95628,303643,0.078393355
29626,30755,0.07838982
72900,14247,0.07822728
73077,199661,0.0780138
15869,38683,0.07658354
136787,317315,0.07604564
132229,220884,0.07574909
63894,138235,0.07568515
78360,72403,0.075411744
101392,326772,0.07533765
32848,6845,0.075270295
133425,83283,0.07517037
19585,164823,0.07419856
89396,247589,0.073858574
19748,110830,0.07366244
35193,97201,0.073020816
9434,79513,0.072863445
72459,83825,0.07285699
64949,196372,0.07282051
14466,253964,0.07250155
78685,212593,0.07234577
88613,190420,0.072249204
59809,212489,0.07172149
3065,150552,0.07153998
21731,220849,0.07152767
12345,101363,0.0709743
20692,9638,0.07095522
3628,229985,0.07036763
90730,99656,0.07029241
137359,103438,0.07006041
32880,243095,0.070031345
89300,301520,0.06989587
104956,110258,0.06971596
96554,178966,0.069124445
60962,274801,0.0690408
20633,231500,0.068204865
123201,204912,0.06813147
1294,315048,0.06748646
90472,155673,0.06740826
122869,134696,0.067282684
69031,61444,0.0667911
21386,189489,0.066595785
88634,99948,0.06608791
65623,51869,0.06575075
43723,243986,0.06520015
29856,159060,0.065115966
36822,71293,0.06499992
80046,152528,0.06477232
71658,698,0.06472549
16589,41635,0.06467124
20817,199152,0.06447244
79958,101077,0.064397015
41573,191309,0.06429238
25653,182313,0.064041875
111368,226185,0.06392134
