prop_id,srch_id,category
35223,38807,0.8599908
34020,261092,0.82897377
48504,124556,0.80931693
134845,186031,0.7947174
101241,104129,0.789908
131697,48743,0.78523725
94465,290271,0.75133264
78497,283606,0.7493018
136787,317315,0.7322086
23072,193228,0.7119585
122621,21656,0.6961245
60880,79401,0.69571716
78497,15725,0.69133526
73077,199661,0.69096684
95182,24884,0.6906205
63494,192731,0.6896379
116747,34360,0.6812879
90730,99656,0.67515033
41278,41106,0.6689696
39526,81660,0.6673633
123835,93142,0.6665709
10107,321685,0.665787
33553,12754,0.6645779
9987,191427,0.66092855
135423,4129,0.65889096
138371,233263,0.65768814
131379,238389,0.655254
67545,296497,0.64996094
54116,153351,0.6494826
8409,89070,0.646836
41326,263991,0.6443881
15390,218475,0.6435774
70684,202649,0.6416038
6435,244318,0.64155865
63374,240789,0.6404761
124046,126659,0.636395
119322,74475,0.63080823
22434,137569,0.63031566
4304,127497,0.6294629
46743,173482,0.62939143
42000,136701,0.62877804
34009,328861,0.6279097
106275,268587,0.62765163
101594,209511,0.62624186
18287,105281,0.62566984
69837,171129,0.6242573
89300,301520,0.6241838
123948,259508,0.62255055
4780,53372,0.615078
24437,110598,0.6150484
113035,127645,0.6142774
105031,96566,0.61224526
102234,9947,0.60463595
63064,215490,0.6046069
63916,100201,0.6002186
45731,54235,0.5969823
93734,283986,0.59473664
94313,77292,0.5911322
68420,6980,0.5908529
103935,134744,0.5904651
69649,69207,0.58877933
42087,224216,0.588679
88613,190420,0.5883713
112345,74008,0.5879435
8962,302728,0.5861146
16029,47802,0.585616
108094,149029,0.5853227
31149,305484,0.5851858
9545,308361,0.5851644
44923,275510,0.58362633
105675,260414,0.58315474
85141,298288,0.5828913
5909,296966,0.580823
59781,4962,0.58037925
116077,68214,0.57961947
43555,84479,0.5784441
112311,5904,0.5776127
3005,28178,0.5767975
117971,64127,0.5753628
139866,193296,0.5735193
87127,77052,0.5734993
64446,85557,0.5734913
113806,17914,0.5733092
11331,53074,0.57166463
128154,136320,0.5684787
98488,121260,0.56834453
127959,57173,0.5677598
76167,148081,0.5676737
34942,265853,0.5638632
57600,185296,0.56251216
86858,316244,0.56216866
49579,118211,0.56197196
27828,276503,0.56190073
8650,28540,0.56111956
109576,144501,0.5605216
108827,199291,0.5603659
130594,293360,0.5595183
126011,85588,0.5593711
88644,15600,0.5584769
57268,246136,0.55596447
62404,36208,0.55527073
89396,247589,0.5547522
36099,81284,0.5541719
92908,89511,0.5538343
137937,30867,0.5504594
21398,195719,0.5501574
39152,138194,0.54954886
98719,305542,0.548471
15281,72093,0.547889
24157,50331,0.5467966
45851,286478,0.5451983
119207,62251,0.54401106
42202,163598,0.5434159
82910,81491,0.54263073
73661,91418,0.5425528
125337,233376,0.5416622
76830,18408,0.5411206
92526,265292,0.5409962
35223,208194,0.5409162
135082,94139,0.540686
24092,214390,0.53721535
44484,241149,0.5355497
16649,222808,0.53549683
114932,92936,0.5352145
12587,104628,0.53464186
130154,103860,0.5345732
44060,152904,0.52976906
133509,14454,0.5294182
29626,30755,0.52929825
82210,324546,0.528781
103209,145076,0.5277015
48364,138027,0.5276528
107126,284323,0.5276448
69607,221701,0.52742165
2800,47666,0.52683353
10136,134849,0.52640814
107744,245454,0.5253459
80800,156405,0.5240594
111416,83964,0.5236013
136880,122821,0.5235983
12518,243994,0.52327234
95519,128838,0.52137613
75952,53275,0.52117777
99430,250510,0.5207541
12169,116737,0.5207336
47595,117266,0.5191679
25779,63602,0.5190503
61720,83468,0.5178908
107606,238044,0.51743805
19898,26680,0.5173485
121275,65940,0.51698554
25016,143087,0.51655674
77795,261161,0.51655424
85204,170683,0.5164339
134154,100052,0.5161491
128587,24948,0.51549804
37818,164570,0.51486945
74211,53467,0.5145838
92653,264336,0.5143221
80046,152528,0.5140083
75955,128240,0.51373154
139917,29998,0.512953
89678,141167,0.5118845
71699,273839,0.5116393
103757,239404,0.5096
140130,125680,0.5083008
40184,324662,0.50807196
32363,255245,0.508068
93129,299463,0.5068489
54795,258114,0.50675696
128682,314652,0.5066791
83979,195826,0.506551
8898,226219,0.5062876
133042,99875,0.5062392
80400,44532,0.50581336
57114,219822,0.50563467
80863,138964,0.50551355
119368,278047,0.5037983
90017,226986,0.50376904
3704,12606,0.5037598
96715,252674,0.50358707
100547,155228,0.502954
59098,24574,0.5024019
3065,150552,0.501997
10805,97785,0.50194407
32358,210320,0.50182205
85708,99605,0.5009322
8909,77410,0.50080204
75795,54102,0.5006579
110940,274010,0.5003369
11473,298767,0.49988154
59374,152073,0.49976408
18420,34642,0.49971595
137359,145684,0.4991703
135096,272630,0.49895516
27142,84979,0.49826127
116176,8941,0.49758923
122757,68751,0.49719757
25980,187003,0.4966093
55701,231810,0.49630624
4256,89667,0.49559164
124778,121692,0.49523807
95215,278807,0.49326834
69327,129701,0.49287984
75291,154532,0.49238616
105062,31739,0.4908402
14808,169074,0.4906026
73134,176402,0.4903397
13580,186790,0.4894408
46501,164013,0.4894094
134833,274419,0.4890882
4988,127590,0.48879403
94897,239738,0.48683274
46691,104570,0.4868154
80493,167205,0.4866923
89808,95830,0.48587874
79209,152587,0.48513427
118661,332134,0.48505494
71658,698,0.48493168
104156,173193,0.48483628
106660,155873,0.48464087
63443,12056,0.48440248
78474,213080,0.48436567
36441,261208,0.48408008
5138,240925,0.48401248
128660,79716,0.4837458
69092,191986,0.48348644
73307,224603,0.48331764
41278,98844,0.48331365
24545,85758,0.48322365
13120,44771,0.48304603
69923,67920,0.48289853
114557,141297,0.48281714
123948,161299,0.48281392
128090,191684,0.48160017
135332,201891,0.48149407
68317,318361,0.48130053
87788,53791,0.4812368
68936,212958,0.480516
70683,158899,0.4794657
34782,59966,0.47936973
108069,222667,0.47919086
30451,250036,0.47813332
67617,36604,0.47812703
85333,174615,0.4780675
38,159220,0.4773784
51133,222760,0.477152
75576,118655,0.47660562
138259,65179,0.47624457
133848,176833,0.47619265
52933,133721,0.4759497
95512,46550,0.4756647
41366,160051,0.4748477
73871,225037,0.4747374
99063,10914,0.4735322
76384,140643,0.4734556
61594,280860,0.47168648
58508,186028,0.4715151
50408,319685,0.47145993
60725,265809,0.4707468
9665,177226,0.47068045
2194,201899,0.4698449
42998,153440,0.4698098
89796,327639,0.46973675
132577,104951,0.46944392
34677,122662,0.46881735
15650,189256,0.4680047
93502,15046,0.46766928
5439,213877,0.4675203
109804,111766,0.4674453
7812,15073,0.46732926
78621,57262,0.46687114
73855,188585,0.46638337
50016,88470,0.4662356
81780,30793,0.46612647
71987,54428,0.4658668
56796,21524,0.46533093
20633,231500,0.46514854
101653,284337,0.46466827
62894,188906,0.46446678
124635,280098,0.4632365
43723,243986,0.46303397
91102,113932,0.4624406
76443,331795,0.46185282
128048,72546,0.4613882
133425,83283,0.4611713
79958,101077,0.4608554
93045,165909,0.46012563
94586,86111,0.4571901
13600,204165,0.45653495
5739,163391,0.45650226
77465,207461,0.45646545
18716,184485,0.45618197
99931,291996,0.45601276
112073,142704,0.4541413
86928,25852,0.45406273
113768,293712,0.4539866
103353,81935,0.45381182
48530,153827,0.45377734
105779,79937,0.45347387
106019,104177,0.4530696
63852,4047,0.45211005
84271,113748,0.45192352
57469,73449,0.45102113
78578,108079,0.45063305
9545,42997,0.44984746
28444,288098,0.44974145
68364,305374,0.4493585
110879,61715,0.44882205
129565,220560,0.44754958
47047,71720,0.44718173
94554,223759,0.4470976
47556,85976,0.44654596
57125,41224,0.44572383
112502,278254,0.44539174
44960,236071,0.44527185
49803,300961,0.4450129
84413,34499,0.4449116
21433,218666,0.444569
104634,20427,0.44391334
102466,132424,0.4432758
83870,270735,0.442983
92799,268092,0.4429044
13508,10822,0.4426422
51371,311808,0.44258466
39470,179288,0.44203693
66528,58860,0.44183254
121588,107150,0.4417665
755,240358,0.44160545
126818,326249,0.44159743
81963,287038,0.44158274
33326,33171,0.44151935
35010,73803,0.44097012
60170,294238,0.44085637
22476,90541,0.44054982
63934,310645,0.4401818
101621,93573,0.44017747
65581,285691,0.43999293
82620,241325,0.4399903
137095,250868,0.43978542
35386,88608,0.43970636
123596,226054,0.43962032
15941,314006,0.43956706
38947,4887,0.4392231
12231,119635,0.43844846
115622,216210,0.43792453
114420,263951,0.43785545
43263,328613,0.43763465
120763,97213,0.43714747
57952,57676,0.43605685
25599,286205,0.43600306
22013,98741,0.43587324
126462,295709,0.4347604
789,7344,0.43330142
96442,109553,0.43326476
22285,36717,0.43269402
95300,70800,0.43073177
42547,197562,0.43013516
107596,272394,0.43007308
29643,93813,0.42978576
59204,267029,0.4296744
73620,271128,0.42937595
23720,57626,0.42845687
25764,205712,0.42836818
81879,318781,0.42712733
56562,161169,0.4266258
63962,90995,0.4255695
58733,292674,0.42529315
109346,77434,0.4249137
90238,201141,0.42463452
76587,289239,0.42440146
32948,99746,0.4241309
64863,330445,0.42319635
99889,291285,0.42247692
101111,81490,0.4222065
78500,225844,0.42197075
42225,76582,0.42167532
21281,59301,0.42127457
93741,74673,0.42114133
71220,206016,0.4207172
67428,92185,0.4204655
90204,177898,0.41943035
131718,309760,0.41928422
80869,278851,0.41890764
55669,37504,0.41773522
90015,134428,0.41710696
119631,157522,0.41693315
116859,224325,0.41657346
97878,176623,0.41606382
101164,203849,0.4158904
118112,64114,0.41572458
6031,56071,0.41543216
138040,267111,0.41501346
8139,56918,0.41489747
86189,250570,0.4144844
19210,59711,0.41389036
56163,281851,0.41336218
68002,119359,0.4133257
128261,101672,0.41320905
78360,72403,0.413113
3064,207641,0.41299373
118722,306546,0.41289032
32880,243095,0.41281036
8791,6784,0.41270128
40491,31476,0.41255614
52111,89335,0.41158888
125378,31476,0.41151312
86583,61089,0.41127828
49905,263627,0.41080585
140687,300028,0.4103756
